Country Name,Country Code,Series Name,Series Code,2025 [YR2025],2024 [YR2024],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
New Zealand,NZL,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,..,..,141.2228326,146.118613,155.5463503,159.5185612,155.390582,153.1523612,153.0825066,154.7803291,152.1380719,148.8262447,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,1.288620047,1.394251816,3.496386865,4.535405657,-0.307246896,2.31747144,3.470582039,3.378732195,3.779110684,3.690369084,3.826384918,2.58954199,2.366306647,2.093496217,1.458636349,-0.037466112,-1.017038469,3.05641639,2.779780591,3.352927604,4.08796484,4.728042049,4.713477671,3.410993122,2.870051088,5.377728908,0.858406352,2.079272887,3.611878862,4.722081148,5.119248415,6.391528504,1.093834756,-1.090793225,0.153140654,0.161414614,-0.353677479,0.970838685,2.705642144,1.615334601,4.792699435,3.491525013,0.929683828,4.655653994,1.284252205,2.191774302,0.318563369,-3.93633758,0.928812369,-1.731683304,5.993440849,7.800277728,5.119108766,3.785457945,-1.3976076,10.1946719,-0.048848529,-4.58942404,6.248462262,6.111731864,6.103284622,6.102117359,3.080873453,3.315649655,..
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,..,49205.17921,49075.95628,49099.70904,49950.42517,41997.78303,42855.83186,43257.07692,42950.38417,40113.71954,38665.3723,44618.26697,43000.46468,40053.69915,38431.77668,33761.90096,28276.72554,31324.7398,32479.98174,26654.5932,27751.06547,25420.23488,21913.70817,16874.18749,13882.85683,13641.10272,15322.22383,14738.44557,17474.18703,18794.43604,17400.42018,15280.31278,13094.34545,11793.13924,12230.07345,13663.02162,13312.38559,13759.15563,12330.91683,9427.55394,7600.565242,6713.760131,7598.312039,7656.475732,7813.887543,7467.168038,6668.138666,5936.98526,4950.588205,4373.840998,4171.76974,4610.570426,4323.196535,3294.648943,2772.918597,2311.02762,2096.926467,1902.421824,2208.442138,2211.382224,2170.998098,2839.315547,2646.236529,2471.055009,2364.753839,2334.133721
New Zealand,NZL,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,..,22.514626,23.82113156,26.26301385,25.11209389,23.11174293,23.76769548,23.9860432,23.70401683,23.16572611,23.19530146,23.05972822,22.17738127,21.27602948,20.64894265,20.37565733,19.92647776,22.90390379,24.7759451,23.75933118,25.42086819,25.28160767,24.12838577,22.74653982,22.95201691,22.03456304,23.2325641,20.81141295,22.92897009,23.14517166,23.65331061,22.5816777,21.22494827,18.66598583,17.54446009,20.47105495,23.37088342,21.09015213,22.63138529,25.1082774,27.03061203,29.01759004,26.85122604,26.47838929,25.26595745,21.52702815,23.65674526,22.1714608,25.25091095,27.32741335,27.67825782,35.0049456,27.21443321,23.90752033,24.44930708,24.31662059,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,2.922797823,5.73316283,7.17222476,3.941120608,1.7145617,1.619631902,1.598297038,1.850787675,0.646240284,0.292704628,1.227507506,1.134422664,1.059913184,4.027906674,2.30202386,2.115651106,3.958949373,2.376143103,3.365401962,3.037023326,2.290249028,1.753574448,2.677092577,2.625816304,2.615234462,-0.11426713,1.265244099,1.187148331,2.285713054,3.754944137,1.745377908,1.288207766,1.014560272,2.60239286,6.098444148,5.715991551,6.375249444,15.74430079,13.21339806,15.41765557,6.171253479,7.341075861,16.16369412,15.37015958,17.15054542,13.69959502,11.95661797,14.38354942,16.90685701,14.68498347,11.10940201,8.166669273,6.932804592,10.38756832,6.517181052,4.925242427,4.311924966,6.056920063,2.755480775,3.397489756,3.474905477,1.968498504,2.68085397,1.79770429,0.697929234
New Zealand,NZL,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,..,35.69429936,37.84481292,39.09490736,48.40333139,62.05639411,50.64627628,40.63135295,45.80078651,42.33126526,41.71740635,36.92749097,34.53261274,29.9444308,..,..,29.18448648,18.14308403,34.61328415,40.18022042,35.38390356,42.08771626,37.44977718,32.66150629,33.08145066,35.37067493,48.24780343,44.07822778,46.1735358,54.59099516,49.08266013,49.02429946,54.77398173,36.79246722,33.44926823,19.39497726,30.70810944,29.76909951,38.76994434,72.58850101,35.59940372,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,Trade (% of GDP),NE.TRD.GNFS.ZS,..,51.22439722,50.40643168,53.47616277,48.54124777,43.97724229,54.45429718,55.76648149,54.14329704,52.40624781,54.85133173,55.0986551,55.98612411,56.9087672,59.17241056,58.1047406,55.01435019,64.26114485,58.42516057,59.60326504,58.01874344,58.79955227,57.91476935,62.65599456,67.23382435,68.51692688,61.40123113,57.89601782,55.24686352,55.11617096,56.91425246,58.81456954,57.55365061,59.23405885,54.63556544,52.60814166,51.97811675,48.4038382,50.00613234,52.77034839,60.74322784,66.19839655,57.99291681,58.44234131,58.87547736,58.69384705,58.8084654,52.54371122,53.89631145,55.94385563,53.13487882,53.55093966,47.86436257,45.85873984,44.18672502,47.1633776,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.076,4.724,3.734,3.299,3.776,4.595,4.109,4.335,4.736,5.147,5.415,5.428,5.839,6.931,6.491,6.557,6.121,4.167,3.661,3.857,3.807,4.005,4.745,5.282,5.433,6.13,7.023,7.718,6.857,6.29,6.461,8.354,9.804,10.667,10.614,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,..,..,..,..,..,3.09659809,3.22995723,3.512317033,3.841881205,3.888321746,3.981493795,3.9410571,4.321685417,4.47210363,4.959180376,11.57504424,10.58413068,9.388327721,6.839982237,4.842856866,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,2.266943736,-6.240171992,-20.73883937,-2.351100672,3.911603416,1.189228129,2.647003203,2.260314203,1.451314661,2.724543362,5.600744659,12.75228709,0.426354777,14.36244147,21.39052839,3.92498382,13.82631955,5.357403247,11.22971483,1.414117993,8.832277803,28.60000117,-9.43197407,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
